Activity Number,ISIC Code,License Type,Activity Name,Description
AM-03272,7310004,Services,Promotional Gifts Preparing.,"Creative designing and creating promotional gifts used by commercial entities to promote themselves and products, such gifts include pens, diaries, commemorative and sport medals, sport trophies, tires covers, names engraving etc."
AM-03281,7110945,Services,Machines Mechanics Engineering Consultancy,"Engineering consultancy services are provided to desalination plants and power generation in the fields of engineering mechanics, machine design and preparation of plans."
AM-03285,7110947,Services,Petroleum and Gas Tank Pipes Building Engineering Consultancy,"Preparing designs, drawings and specifications for consultations in the field of building pipes and oil and gas tanks"
AM-03287,7110906,Services,Security Systems Consultancy,"Preparing designs, drawings and specifications for consulting in the field of security systems."
AM-03288,7120006,Services,Security Systems Testing and Checking Services,"Inspecting security systems to ensure safety, workability and consistency with standard specifications, then to provide technical reports and certificates accordingly."
AM-03290,8010010,Services,Security Training Services,"Security training, which includes the concept of security, preparing reports, technical skills, awareness of social and security issues, training on responding to inquiries, reception and guarding."
AM-03291,8121001,Services,Interior cleaning services for buildings and dwellings,"Providing services for cleaning residential buildings and offices of other commercial units, our services for surfaces and external surfaces."
AM-03292,7420003,Services,Photography Studio,"Production of photographs for personal purposes, whether inside or outside private studios, such as the production of personal photos of individuals used on passports, employment applications, travel visas, etc., and also includes photographing weddings or other parties and personal events, and this activity also includes institutions that use automated equipment for photography using coins."
AM-03293,7420006,Services,Film Developing and Photo Printing,"Personal photographing either in or outside specialized studios for different purposes such as passports, employment immigration visa applications. It also involves photographing weddings and other personal events. Firms which use coin photography machines are also included."
AM-03296,8219002,Services,Typing & Photocopying Services,"Typing and photocopying documents to be submitted to governmental and non- governmental bodies, as well as personal documents, such as curriculum vitae etc."
AM-03297,8219003,Services,Maps and Drawings Copying Services,"Preparation of copies of maps and drawings of all kinds, whether printed or recorded on audio or visual tapes or in the form of photographs or Miro film slides or otherwise, whether this is done through the use of the capabilities available to establishments specialized in the work of printer, recording and copying, or the establishments have the necessary equipment for that themselves, and the activity includes redrawing maps and drawings manually to reproduce them"
AM-03299,7490005,Services,Legal Translation Services,"Translation of texts with general content, specialized texts such as commercial contracts, legal, commercial, technical, scientific and other texts, and this activity also includes sequential translation."
AM-03303,8299003,Services,Transactions Follow-up Services,Transactions Follow-up Services
AM-03305,7010001,Services,Management Office,"Offices opened by one of the existing commercial or industrial institutions or companies to be used in organizing administrative and office affairs related to the same institution or company to which the office belongs, and accordingly, these offices are not allowed to conduct any commercial business, and this office must be linked to an establishment with a commercial or industrial activity"
AM-03307,4659911,Commercial,Wholesale of Dive Gear Equipment Trading - Import & Export,Trading in equipment used by underwater divers
AM-03311,8291001,Services,Debts Collection,"Follow up the rights of companies, institutions or individuals, carry out the necessary tasks and services in order to protect assets, and strive to collect debts incurred in favor of those entities due to others, including post-dated checks and bad debts."
AM-03313,7490001,Services,Inspection and Pricing Services,"Examining, and estimating immovables such as lands and buildings and movable such as goods, machines, equipment and furniture, for the various purposes like holding public auction sales, be it upon the disputant parties' desire or an assign by court, arbitration committee or any other administrative body."
AM-03315,8230001,Services,Exhibitions Organization and Management,"Organizing trade fairs that are held to promote or stimulate trade at the local or international level, and it also includes holding exhibitions to encourage local industrial and agricultural products, and it also includes holding other exhibitions of a specialized nature,"
AM-03317,6399001,Services,Press Material Preparation and Distribution,"Preparing interviews and journalistic investigations, as well as preparing reports, research, studies and archival materials needed by newspapers and magazines, processing and distributing them to those newspapers and magazines according to their needs and requirements."
AM-03319,7410001,Services,Fashion and Clothes Designing,"Design fashion and men's and women's clothing and for children of all kinds, including formal uniforms or uniforms for official authorities or bodies and institutions that need to allocate uniform clothes for some categories of their employees."
AM-03321,8211001,Services,Hotel Management,"It includes facilities or sectors specialized in the management of the hotel system to identify users, their powers and control over them, as it enables you to make backup copies and enter all hotel information in terms of rooms, services, employees, types of companies and entities that are dealt with. Through the management of the system, you can determine the information of the hotel, which expresses the administrative policy used by the hotel management in terms of automatic migration, the sequence of cash invoices, the term and the system options that are in line with the administrative policy of the hotel, which can vary from hotel management to other hotel management according to the needs of the hotel management"
AM-03323,8211010,Services,Non-specialized Facilities Management,"Management of third party establishments for which licenses have been issued by the competent authorities, provided that the facilities are managed for others according to specific criteria agreed upon by the two parties subject to the contract."
AM-03327,8211002,Services,Theatres and Cinemas Management,Management of theaters and cinemas and related operations. .
AM-03333,8230005,Services,Fashion Shows Organization,Preparing and organizing fashion shows and selecting and training exhibitors to present presentations.
AM-03334,8549031,Services,Institute of Education Languages,"Foreign language training taught as a second language, including the study of cultures related to language, literature and linguistics, not including mother tongue education or foreign culture education."
AM-03335,8230002,Services,Conferences and Symposiums Organization and Management,"Organizing and managing conferences and seminars organized by government agencies or private institutions, including carrying out activities, events and procedures required by holding conferences and seminars, such as receiving participants, organizing their residence, and organizing their residence."
AM-03336,8549013,Services,Administrative Business Training,"Training on planning, directing and operating administrative activities for various institutions that focus on economic, financial and administrative management issues, including training on managing various operations and institutions such as educational institutions, recruitment processes, logistics management."
AM-03337,8291003,Services,Importing Services of Taxes Paid Abroad,"Follow up on the documents, forms and information necessary to complete the procedures for recovering the tax fees imposed on goods and services purchased from outside the country, such as value-added tax or other taxes paid by third parties, individuals, companies or businessmen on the basis of their refundability according to certain conditions ."
AM-03339,8230003,Services,Auctions Organization and Management,Sell used movables by public auction by an expert appraiser and in a hall designated for this purpose or in the place where the movables are located
AM-03341,8219005,Services,Documents Shredding Services,Destroying documents and documents from papers or other means of preserving data and information that other facilities wish to dispose of.
AM-03347,6399003,Services,Non-Commercial Information Services,"Includes firms that provide various types of information and non-commercial data to others and by various types of means, this does not include information related to commercial, industrial and professional activities, as well as investment opportunities and commercial events."
AM-03354,8550002,Services,Administrative Training Services,"Training in all areas of administrative work, where these facilities provide and prepare learning halls and link them to the latest educational means and other services related to these institutes."
AM-03356,8549020,Services,By-contact Training,"Training using live and direct means through the Internet or other modern means of communication, instead of the traditional classroom system."
AM-03358,8610001,Services,General Hospital,"Facilities with an independent building to provide health care, such as providing inpatient services of 24 hours or more for patients undergoing treatment for illness, injury or deformities and the hospital provides basic emergency services and intensive care for patients"
AM-03360,3250006,Industrial,Prosthetics & Orthotics Center,Providing artificial alternatives for lost or injured physical limbs or prosthetic or supportive devices to relieve patients' pain and help them move and walk according to the instructions of the treating doctor.
AM-03361,8620005,Services,Pediatric Clinic,Medical facilities (clinics) that provide simple medical and therapeutic advisory services and do not provide emergency services. Patients are taken care of by one or more medical practitioners working in the field of children and newborn diseases.
AM-03362,8690005,Services,Optics Centre,"Eye examination, prescription eyeglasses and contact lens fitting based on an ophthalmologist's report"
AM-03363,8610004,Commercial,Gynecology and Midwifery Hospital,"Providing medical services represented in receiving cases of women (pregnant), including equipping outpatient clinics to receive, supervise and follow up these cases during pregnancy, as well as the service of conducting childbirth operations."
AM-03364,8690002,Services,X-ray Diagnosis Centre,"Medical and health facility in which a specialist radiologist or nuclear medicine doctor is present and is equipped to examine the patient for the purposes of medical radiological diagnostics of all kinds, including diagnostic rays and nuclear medicine."
AM-03366,8690009,Services,Medical Analysis Lab,"Conducting medical examinations, which include collecting and preserving samples"
AM-03369,8620002,Services,Internal Diseases Clinic,Examine patients and prescribe appropriate treatment in the field of internal medicine.
AM-03370,7020027,Services,Pharmaceutical Consultancies,"Supporting scientific and research issues in the field of pharmaceutical sciences and their modern technologies and adapting them to serve the pharmaceutical industry and pharmaceutical products and raising the level of the pharmacy profession, as well as in the field of developing pharmaceutical education and taking care of the development of raw materials that serve the pharmaceutical industries."
AM-03371,8620004,Services,Cardiopathy Clinic,Examine patients and prescribe appropriate treatment in the field of heart disease
AM-03375,8620006,Services,Ophthalmology Clinic,Examination of patients and prescribing appropriate treatment in the field of ophthalmology.
AM-03381,8620010,Services,Gynecology Clinic,"Examination of patients and prescribing appropriate treatment in the field of Gynecology,"
AM-03383,8620011,Services,Urinology Clinic,Examination of patients and prescribing appropriate treatment in the field urology.
AM-03387,8620013,Services,Dermatology and Venerology Clinic,Examination of patients and prescribing appropriate treatment in the field of dermatologists.
AM-03389,8620014,Services,"Ear, Nose and Throat Clinic (ENT)",Examination of patients and prescribing appropriate treatment in field of otolaryngology.
AM-03390,8121003,Services,"Insects, Rodents and Harmful Animals Control and Exterminating","Domestic insect control services with pesticides and poisons, as well as the extermination of harmful animals such as mice and others and the disinfection of sewage, and does not include facilities that work in the field of pest control and agricultural pests, where they are classified under the section of agriculture."
AM-03391,8620015,Services,Dental Surgery Clinic,Examination patients and prescribed appropriate treatment in the field of dental surgery
AM-03392,3811006,Services,Seas and Coasts Cleaning Works,"Collecting marine waste and polluting materials for beaches, sea water, and natural and artificial lakes and removing such wastes and materials and disposing or treating them."
AM-03395,8620016,Services,Plastic Surgery Clinic,Examination of patients and prescribing appropriate treatment in the field of plastic surgery. .
AM-03396,3812001,Commercial,Used Lubricants Collection Works,"Collecting various types of lubricating oils used in machines and engines, which are disposed of in workshops, repair shops, and oil exchange shops for cars and vehicles due to their unfitness, and this also includes their packaging and reselling for use as raw materials for various industrial purposes."
AM-03397,8620025,Services,General Surgery Clinic,Examination of patients and prescribing appropriate treatment in the field of general surgery. .
AM-03399,8620018,Services,Endocrine Gland Diseases Clinic,Examination of patients and prescribing appropriate treatment in the field of endocrine diseases .
AM-03402,3900001,Services,Pollution Consequences Treatment and Environment Protection,"Treatment and removal of the effects of pollution of all kinds, whether by applying pollution prevention techniques before it occurs, or by removing waste and waste and disposing of them by mechanical or chemical methods, or by absorbing on the carbon surface or other techniques for treating the effects of environmental pollution."
AM-03407,8690001,Services,Natural and Rehabilitation Medicine Centres,"Examination and rehabilitation of patients by stimulating the normal functions of the human body and benefiting from them in treatment, after conducting the necessary medical examinations to ensure the reasons for treatment."
AM-03409,3250005,Services,Dental Laboratory,Dental Laboratory
AM-03415,5911002,Services,Television Programs and Series Production,"Produce television programs and series for use in the media, educational institutions and the distribution of television programs on audio tapes, CDs or others through a television studio that includes facilities that produce radio programs and audio recordings such as news, drama, comedy, sports, musical, documentary films, commercial advertisements and others, for use in the media or for institutions distributing television programs and video recordings or for tape and record shops Visual installations and artistic production processes"
AM-03422,9312011,Services,Men Body Fitness Club,"Training services for men on sports movements to gain fitness and weight loss, or practice certain sports such as tai fu and others, and these clubs also contain saunas, saunas, etc."
AM-03424,9311012,Services,Sports Entertainment Games Square,"Provide various sports facilities for the purpose of entertainment, such as providing arenas, arenas, and playgrounds, and practicing some games such as car races, bicycles, remote-controlled aircraft, and shooting targets with guns, arrows and other games"
AM-03426,9311003,Services,Sports Races and Championships Organization Services,"Organizing types of sports races and tournaments, such as making contacts with international and local sports federations, as well as sports teams or participating competitors, as well as registering contestants, setting competition schedules, and preparing stadiums or fields."
AM-03428,9312012,Services,Women Body Fitness Club,"Training services for women on sports movements to gain fitness and weight loss, or practice certain sports such as tai fu and others, and these clubs also contain saunas, saunas, etc."
AM-03429,8542001,Services,Dance Training,"Teaching professional and specialized curricula in the field of motor performance and teaching dance for a fee, and this activity does not include renting dance halls. ."
AM-03431,9000102,Services,Entertainment Parties and Occasions Contracting,"Equipping venues for parties, weddings, special and entertainment events with appropriate designs and decorations, renting equipment, devices, lighting supplies and sound effects, in addition to contracting with artists' bands, musical bands and service teams from a photographer"
AM-03433,7420005,Services,Parties and Occasions Photographing,"Photograph parties and personal events such as weddings, opening ceremonies, exhibitions etc."
AM-03434,9311008,Services,Billiard & Pool Room,Establishments that own or rent indoor spaces to play billiards and snooker include those facilities that re-rent tables to individuals wishing to play the game.
AM-03435,9000104,Services,Music Band,"Groups or bands regardless of gender considerations (male or female) or tradition, style and size, and includes performing at private and public events for a fee or at no cost to the contractor, and this classification also includes the promotion and marketing of their services, offers and events."
AM-03436,9321002,Services,Electronic Games Hall,"Providing various means of electronic games, whether toy boxes that work with metal pieces or other electronic devices for certain fees or fees."
AM-03437,9000106,Services,Laser Shows Presentation,"Presenting at trade shows, television commercials, conferences, seminars, sports tournaments, parties or other events using lasers, including image production. ."
AM-03439,9000103,Services,Artistic Bands Contracting,"Mediation and contacts with artists and artistic groups, including musical, theatrical, lyrical, and spectacular, and an agreement with them to organize public artistic concerts in return for a commission.."
AM-03442,9321008,Services,Recreational Horses and Camels Leasing,Renting horses and camels for a walk in the designated places and with specific specifications commensurate with the use of these animals. .
AM-03443,7020015,Services,Fine Arts Consultancy,"Counsulting services on investment, acquisition, storage and restoration of original artworks, in addition to services related to the coordination, management and evaluation of fine art exhibitions, festivals and events, and includes promotional activities for these works such as advertising, public relations and events, to be carried out by licensed advertising companies."
AM-03447,9000904,Services,Art Gallery,"Display works of art such as paintings, drawings, sculptures, photographs, handicrafts and rare works, or choose these works of art to organize art exhibitions for artists every now and then. This includes the sale and auction of works of art as well as hosting public and private events such as performing arts, films, festivals and other special events, and includes promotional activities for these works such as advertising, public relations and events. ."
AM-03450,9601001,Services,Clothes Ironing,"Ironing clothes by simple manual methods,. This activity also includes a delivery and receiving counter for all types of ironing clothes. ."
AM-03452,9601002,Services,Clothes Washing,"Laundry underwear, outerwear, dishdasha and all kinds of clothes. . ."
AM-03454,9601005,Services,"Clothes, Curtains, Sheets, Blankets and Carpets Dry Cleaning (Steam)","Automatic washing, cleaning and ironing services using steam machines and equipment, as well as dry cleaning services, including washing and cleaning household linens such as curtains, blankets, linens, carpets, etc. ."
AM-03455,4761003,Commercial,Retai sale of Stationery,"Selling stationery used such as writing tools (pens and notebooks) and all kinds of binding papers, colors of all kinds and basic supplies used in writing"
AM-03456,9601006,Services,Carpets and Textiles Sewing Up,"Repair of textiles such as carpets, fabrics, curtains, clothes, etc. The activity also includes sewing textiles, fabrics including pillows and pillows, and sewing household linen."
AM-03457,9312001,Services,Sports Entertainment Club,"Clubs that have facilities that include sporting and recreational activities such as rowing, sailing, speedboat driving, ground tennis, fast car driving, polo, and swimming, in addition to that, to a limited extent, provide these facilities to members"
AM-03458,2930109,Industrial,manufacture of car seats,"Manufacture and providing vehicles seats with padding, springs, webbing, and fabric and leather covers."
AM-03459,9312010,Services,"Equestrian, Camels, Hunting and Stables Clubs","Sports clubs that contain facilities for practicing equestrian sports, whether competing in local, regional or international competitions, whether at the level of hobby or professionalism. ."
AM-03461,9312003,Services,Bowling Club,"Sports clubs that contain facilities for bowling, whether competing in local, regional or international competitions, whether at the level of hobby or professionalism. ."
AM-03462,9602101,Services,"Men Hairdressing, Trimming and Styling","Cutting and styling hair and shaving for men The activity includes the process of trimming and shaving the hair or beard, as well as washing hair with different types of shampoo with hot air drying and the activity also includes straightening hair from wrinkles with different types of creams with the preparation of dyes and henna to change hair color. ."
AM-03464,9609001,Services,Women Personal Care and Beauty,"It includes the shops or centers that provide beauty services, body care, hair or skin care for women, and this includes making make-up, skin cleaning and body hair removal by regular methods (such as preparing materials used for removal or using modern methods called AWACS) as well as"
AM-03471,9312008,Services,Body Building Club,"Sports clubs that contain facilities for practicing bodybuilding, whether competing in local, regional or international competitions, whether at the level of hobby or professionalism."
AM-03472,9609005,Services,Men Personal Care and Beauty,"Provide beauty services and care for the body, hair or skin for men, including cleaning the skin or activating the muscles using degrading preparations or using certain preparations or using scientific devices or exercises in addition to the use of lotions to strengthen the hair of the head, and this activity also includes shops that trim nails, clean the ends and maintain them from dryness, cracking and other cosmetic services."
AM-03473,9602903,Services,Wig Fixing Centre,"Preparing wigs for men and women, whether in the form of ready-made wigs or complementary strands of hair from imported natural and synthetic hair, and it includes carrying out all necessary operations such as weaving, assembling, shaping, washing, etc. This activity includes re-assembly ..."
AM-03474,8549021,Services,Men Beauty Saloon Works Training,Professional institutes specialized in the field of grooming and hairdressing for men and teaching practical skills with different goals of the programs. The goal of these centers may be in different locations the ability to teach associate individuals the principles of beauty and decorating for men
AM-03481,149008,Services,animals Pets Raising,"Raising pets that are frequently used in homes and palaces for the purpose of production and propagation for commercial purposes such as cats, dogs, etc"
AM-03486,9609007,Services,Men Oriental Bath,"Specialized bathrooms for men in the oriental and Arabic way, the purpose of which is to clean the body in the ways followed in each bathroom with the use of preparations unique to the method used and adhered to the type of bathroom, such as the Moroccan and Turkish baths..."
AM-03492,4630132,Commercial,Wholesale of Dried Vegetables and Fruits Trading - Import & Export,Trading of dried vegetables and fruits that have been processed and manufactured to be preserved for long periods to become usable.
AM-03493,4789001,Commercial,Publications and Stationery Selling Kiosk,"Selling stationery, such as writing paper, notebooks, record books, writing and drawing instruments, rulers, sharpeners, paper perforators, paper clipping requisites, stamps, typewriters ribbons in kiosk ."
AM-03496,4630208,Commercial,Foodstuff & Non Alcoholic Beverage Trading - Import & Export,Food & Non-Alcoholic Beverages Trading
AM-03501,8549042,Services,Training on the development of personal competencies,"Includes training on programs that affect the development of the mental and social capabilities of individuals through learning the skills that support those abilities such as argumentation skills, communication skills, teamwork, behavior development, creative thinking, job search, public speaking, self-esteem, social competence, management Time, the art of leadership and more."
AM-03505,2829011,Industrial,Specialized Industrial Machinery & Equipment Manufacturing,Specialized Industrial Machinery & Equipment Manufacturing
AM-03509,2750008,Industrial,Manufacturing & Assembling Of Electrical Appliances,Manufacturing & Assembling Of Electrical Appliances
AM-03517,8291003,Commercial,Tax Reclaim Services,"It includes offices specialized in making contacts with tax authorities and following up on documents, forms and information necessary to complete the procedures for recovering tax fees imposed on goods and services such as value-added tax or other taxes that third parties, individuals, companies or businessmen pay on the basis of their refundability according to certain conditions."
AM-03521,1410118,Industrial,Industry headdress,Manufacture and wrap headband used in headgear such as ghutra and other related products
AM-03524,2592002,Industrial,Manufacturing Window Cleaning Equipment & Allied Fabrication,Manufacturing Window Cleaning Equipment & Allied Fabrication
AM-03533,4773201,Commercial,Jewellery and Precious Metal Trading,Jewellery and Precious Metal Trading
AM-03539,5229013,Commercial,Freight Broker,"Shipping broker of various types, sea, air and land"
AM-03549,2740001,Industrial,Electrical Lamps Manufacturing,"Manufacture of discharge, incandescent, fluorescent, ultra-violet, infra-red lamps"
AM-03561,7010003,Services,Representative Office,"One of the international companies or institutions to represent it in particular within the country in order to promote its products or services or to activate its business or to facilitate the processes of concluding commercial contracts between the company represented by the office and its clients, and this office is not allowed to engage in any business or conclude deals. business himself."
AM-03562,4662005,Commercial,Ferrous And Non Ferrous Metal Trading Import & Export,"Trade in precious metals such as gold, silver, platinum and others or their raw materials in their original state in nature before extraction from them or in the form of ingots, blocks, threads or chips before they are formed, manufactured or formulated. ."
AM-03566,4630111,Commercial,Fresh & Chilled & Frozen Meat Trading - Import & Export,"Trade in fresh meat such as beef, sheep and other livestock"
AM-03568,5229013,Services,Logistics,"Providing logistics services related to the management, planning and handling of goods from production sources to markets, including shipping, clearance, storage, parcel organization, air/sea/land distribution and other value-added services."
AM-03570,8549037,Services,First Aids Training,"Providing training programs in the field of first aid and applying them scientifically aimed at saving the life of the injured or mitigating the effects of the injury to a minimum and facilitating the therapeutic work to be conducted by the doctor, and it is required that these facilities have qualified trainers ."
AM-03572,8549024,Services,Banking & Finance Training,"Providing training on planning, directing, organizing and controlling financial resources and activities of the financial of institutions and individuals, including Banking services, finance theory, investment analysis, investments and securities, stock-brokering."
AM-03574,8542003,Services,Acting and Related Arts Training,"Provide training services for all ages in the fields of music, theater and dance arts, regardless of gender (male or female), traditions and style, in addition to all elements of theater production management for a fee or no cost to the customer. Licensed commercial performing arts training centers are allowed To seek sponsorship funding and to obtain financial resources from multiple commercial sources such as entrance fees, membership fees, retail stores, renting parts of facilities, as well as informal education programs, publications, etc., these centers can obtain a separate license to sell food and drinks, and these can be managed. Facilities directly or with the help of external consultants. This classification also includes promotional and marketing activities for its services and activities such as advertisements, public relations, publications and other media"
AM-03578,7729007,Services,Shopping carts Rental & Retrieval services - Import & Export,"Providing special manually or automatically controlled trolleys for children under the age of six, in shopping malls or parks and public facilities, so that they are rented to shoppers and visitors who accompany their children while visiting these places. ."
AM-03580,4773953,Commercial,(G.P.S) Retai sale of Global Positioning System,"Selling specialized devices linked to satellites that enable their users on land or sea to determine their exact locations, as well as use them as navigation systems in various means of transportation. ."
AM-03586,8292002,Services,Gift-wrapping,"Gift wrapping services for others, providing them with ribbons, flowers, or artificial buttons, designing and printing gift cards, as well as providing gifts to homes or workplaces."
AM-03597,3011903,Industrial,Ambulant Manufacturing,Ambulant Manufacturing
AM-03598,3314001,Services,Repair and maintenance of generators,"Repair and maintenance of electronic generators using a variety of techniques, including the activity of winding motors for those generators and electric motors"
AM-03605,4761001,Commercial,Sales and Import books and stationery Import & Export,"Selling all kinds of books, newspapers and magazines"
AM-03613,4773204,Commercial,Retail sale of Watches & Clocks & Spare Parts,Selling watches and accessories such as leather or metal bracelets for watches or electronic batteries. .
AM-03618,7110929,Services,Mechanical Power Engineering Consultancy,"Engineering consultancy and studies for power plants, air conditioning companies and automotive engineering in the fields of thermodynamics, heat transfer of thermal machines, power plants, combustion technology, fuel, propulsion systems and others."
AM-03619,4659913,Commercial,Beauty & Personal Care Requisites Trading - Import & Export,"Includes commercial establishments that deal in wholesaling in equipment and supplies that are used in beauty salons, barbershops and personal care centers, as well as health behavior care devices such as fresh air or perfumed equipment, relaxation and massage equipment such as chairs"
AM-03623,2211001,Industrial,Rubber Tyres Manufacturing,Rubber Tyres Manufacturing
AM-03626,4649007,Commercial,Wholesale of Sunglasses Trading - Import & Export,"Trading of sunglasses and accessories, and this activity does not include trade in eyeglasses and lenses"
AM-03627,7721001,E-Commerce,E-Commerce,Trade in consumer goods through the Internet
AM-03651,1410103,Industrial,Uniforms Manufacturing,"Manufacturing uniforms and uniforms worn by male and female workers in one facility, such as school uniforms, as well as workers' uniforms"
AM-03671,9524005,Industrial,Spraying and painting and polishing furniture,"This activity involves the surface treatment and finishing of wooden or metal furniture to enhance appearance, protect against damage, and extend product life. It includes"
AM-03674,4530001,Commercial,Cars New Spare Parts Trading - Import & Export,"Trading of new car parts, which are replaced in entire vehicles or parts of them in the repair and maintenance of cars, vehicles, etc., in addition to the resale of related supplies such as types of detergents, dyes, etc."
AM-03675,4530010,Commercial,Cars Accessories Trading - Import & Export,"It includes trading of car accessories and decorations, which are materials that are affixed to cars in order to improve their external or internal appearance and so that they do not affect their operating power or modify their external shape. This also includes small flags that are affixed to cars as well as small metal pieces that symbolize certain shapes Such as the well-known brands of cars, and it also includes the sale and installation of materials reflecting thermal radiation (anti-heat), such as insulating or reflective paper that is installed on car windshields. This branch does not include the sale of car recorders and televisions."
AM-03677,4771904,Commercial,Baby Food Trading - Import & Export,"Includes commercial establishments engaged in the wholesale trade of baby food such as liquid or powdered milk, as well as other beverages, juices, and food products, whether dried or liquid."
AM-03679,4630134,Commercial,Wholesale of Frozen Foodstuff Trading - Import & Export,Frozen foodstuffs trading
AM-03680,4620101,Commercial,"Wholesale of Crops, Cereals and Greens Trading - Import & Export","Trade in grains, wheat, barley, corn and other fruits, citrus fruits and the like, as well as pulses such as beans, chickpeas, beans and others ."
AM-03682,4630204,Commercial,Wholesale of Mineral Water Trading - Import & Export,Mineral Water Trading
AM-03686,4641901,Commercial,Wholesale of Men Shoes Trading - Import & Export,Commercial establishments specialized in wholesale trading include all types of men's shoes of all sizes and colors outside the stores dedicated to this type. .
AM-03689,4641906,Commercial,Wholesale of Professional Shoes Trading - Import & Export,"Trading of professional shoes for various uses such as fireproof shoes, shoes worn at work sites for engineers and workers, protective medical shoes, athletes, body coolers that can be worn"
AM-03692,4641901,Commercial,Wholesale of Men Shoes Trading,It includes commercial establishments specialized in wholesale trade in all types of men's shoes of all sizes and colors outside the stores dedicated to this type ...
AM-03698,4649003,Commercial,Wholesale of Chandeliers and Lighting Items Trading - Import & Export,"Includes commercial establishments that carry out wholesale trade in chandeliers, chandeliers, pendants such as crystal chandeliers and so on."
AM-03699,4663011,Commercial,Wholesale of Water Heater Trading - Import & Export,"It includes commercial establishments that engage in wholesale trade in local markets, through import or from the product produced from the local market, in water heating devices used in bathrooms and kitchens, including those that operate on electrical or solar energy."
AM-03700,4649061,Commercial,Wholesale of House Furniture and Cabinet Work Trading - Import & Export,"Trading of home furniture of all kinds such as beds, bedroom sets, cabinets, seating sets, chairs, tables and accessories such as mirrors, clothes hangers, etc., as well as furniture used in hotels and restaurants and the like, which is made entirely or parts of it from wood, plastic, glass, metal, fiberglass or otherwise."
AM-03706,4663024,Commercial,Wholesale of Décor and Partition Material Trading - Import & Export,"Trading of materials and products used in the beautification of the internal and external courtyards of homes and offices such as gypsum carvings, wooden and concrete barriers, as well as artificial landscape installations comparable to landscapes such as fountains, waterfalls, waterways, etc., as well as prefabricated walls used in dividing spaces inside offices, which are made of wood, cardboard, aluminum, sheet or otherwise."
AM-03707,4663025,Commercial,Wholesale of Wallpaper Trading - Import & Export,Wholesale of Wallpaper Trading
AM-03708,4663026,Commercial,Trading all kinds of ready-made curtains - Wholesale - Import & Export,"It includes commercial establishments specialized in wholesale trade in the local markets for all types of ready-made curtains, and this activity includes the trade of metal, plastic and wooden curtains, and this activity does not include the trade of upholstery fabrics"
AM-03710,4663007,Commercial,Wholesale of Marble Trading - Import & Export,"Trading of marble types such as granite and others, and this activity includes establishments that sell these materials in their raw raw form in the form of blocks or slabs before conducting any industrial or manufacturing operations on them."
AM-03711,4669225,Commercial,Wholesale of Natural Fertilizers and Agricultural Reclamation Material Trading - Import & Export,"Trading of bulk include the sale of animal waste, such as animal dung, birds, plant residues or a mixture of animal waste, which is suitable for use to improve soil properties, provided they are in their original state or after some changes or transformations have been made to make them marketable, used or to increase their effectiveness in enriching agricultural soils, as well as reselling agricultural interests, namely materials and microorganisms added to the soil to improve their properties and increase crop production."
AM-03718,4659309,Commercial,Wholesale of Spare Parts and Sections Trading of Airplanes - Import & Export,"Trading of aircraft spare parts and other components and supplies used in aircraft repair, maintenance, refurbishment, operational efficiency, security and safety equipment, or other components and supplies."
AM-03723,6499009,Services,"Health Services Enterprises Investment, Institution and Management","**Conditions : 1- Business plan 2- Location type : Executive Office It includes institutions and companies that are established for the purpose of investing their funds or providing the financial investments necessary for the establishment of health projects that engage in various industrial activities such as health insurance companies, building hospitals and health facilities, and the like fields of investment in or contribution to health projects and services. This also includes the management of these affiliated institutions and the organization of their affairs."
AM-03725,7110505,Services,Traffic and Means of Transportation Planning Engineering Consultancy,"It includes specialized engineering consultancy offices that prepare designs, drawings and specifications for engineering consultancy and supervise the implementation of projects in the field of traffic planning and means of transportation, which includes everything related to traffic management in business sites. Engineering consultations may not be practiced except after being registered in the register of engineering consulting offices (the Authority Or the local authority of the emirate subj"
AM-03745,9601003,Services,Laundry Services,"They are shops specialized in cleaning and washing curtains, bedspreads, blankets and any other types of blankets used in home furnishings."
AM-03751,8549022,Services,Women Beauty Salon Works Training,Training on women's beauty and cosmetics and teaching practical skills according to the different objectives of the programs
AM-03766,4721035,Commercial,Activity Flavours & fragrances trading - Import & Export,"Trade in flavors and fruit extracts used in the manufacture of foodstuffs, as well as perfumes used in the manufacture of aromatics and cleaning products."
AM-03773,2393008,Industrial,Manufacturing Marble & Granite,Manufacturing Marble & Granite
AM-03774,4663027,Commercial,Building & Construction Materials Trading,Building & Construction Materials Trading
AM-03779,4641904,Commercial,Wholesale of Sports Shoes Trading,"Trading in Sports shoes, including all types of different racing shoes, as well as specialized shoes for all types of sports games, and this activity does not include the sale of sportswear."
AM-03780,4652009,Commercial,Mobile Phones Trading - Import & Export,"Trading in Mobile phone and receives phone calls within a wide geographical area based on wireless communication, in addition to telephone communications, it allows benefiting from a wide variety of services and applications such as text messages, e-mail, Internet access, games and photography, as well as various types of spare parts and supplies such as memory cards, car chargers, batteries, leather covers, screen protectors, Bluetooth headphones, cables, silicone covers, holders and others."
AM-03781,4651002,Commercial,Wholesale of Computer Systems And Software Trading,"Trading of computer systems and programs (software for computer operation or Bram C for the operation of computer networks,"
